name,gender,wikipedia_page,award_comb,state,first_honours_date,first_honours_year,pre_post_wikipedia,wikipedia_url,wikipedia_page_id,honsid,wp_creation_date,honours_date,wikipedia_creation_year,honours_year,award_name,announcement_event,division,citation,person_description,number_of_honours,new_honours_date,new_honours_year,wp_creation_year,time_diff,year_diff,wikipedia_week,new_honours_week,week_diff,before_after
Roger Beale,M,Yes,AO,ACT,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Roger_Beale,41681518,1132814,2014-01-19,2006-06-12,2014,2006,Officer of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to conservation and the environment, particularly the development and implementation of major Australian government policies related to heritage, management of natural resources, and sustainability issues, and to fostering public involvement in local protection and restoration projects.",Australian public servant and artist,1,2006-06-12,2006,2014,2778,8,2014-W03,2006-W24,396,on or after honours
Roger Climpson,M,Yes,OAM,NSW,2004-01-26,2004,Post,https://en.wikipedia.org/wiki/Roger_Climpson,2293101,1056171,2005-07-23,2004-01-26,2005,2004,Medal of the Order of Australia,Australia Day 2004 Honours List,NA,"For service to the media, particularly through the Christian Broadcasting Association, and to the community through a range of service groups.",Australian journalist,1,2004-01-26,2004,2005,544,1,2005-W29,2004-W05,77,on or after honours
Roger Corbett,M,Yes,AO,NSW,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/Roger_Corbett,10559282,1138593,2007-04-10,2008-06-09,2007,2008,Officer of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to business, particularly through leadership and executive roles in the retail sector and a range of allied organisations, and to the community.",Australian businessman,1,2008-06-09,2008,2007,-426,-1,2007-W15,2008-W24,-61,before Honours
Roger Herft,M,Yes,AM,WA,2013-01-26,2013,Post,https://en.wikipedia.org/wiki/Roger_Herft,3781115,1146779,2006-01-20,2013-01-26,2006,2013,Member of the Order of Australia,Australia Day 2013 Honours List,G,For significant service to the Anglican Church of Australia through leadership roles in ecumenical and interfaith relations and advocacy for social justice.,cleric,1,2013-01-26,2013,2006,-2563,-7,2006-W03,2013-W04,-367,before Honours
Roger Noble,M,Yes,AM,NSW,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Roger_Noble,60122905,1153849,2019-03-03,2016-06-13,2019,2016,Member of the Order of Australia,The Queen's Birthday 2016 Honours List,M,For exceptional service to the Australian Army as Director General Land Development and Commander of the 3rd Brigade.,Australian Army general,1,2016-06-13,2016,2019,993,3,2019-W09,2016-W24,141,on or after honours
Roger Smalley,M,Yes,AM,NSW,2011-01-26,2011,Post,https://en.wikipedia.org/wiki/Roger_Smalley,3320219,1143508,2005-12-05,2011-01-26,2005,2011,Member of the Order of Australia,Australia Day 2011 Honours List,G,"For service to the arts as a composer, concert pianist, educator, mentor of emerging musicians and advocate for Australian and international new music.",Australian musician,1,2011-01-26,2011,2005,-1878,-6,2005-W49,2011-W04,-269,before Honours
Roger Steele,M,Yes,OAM,NT,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Roger_Steele,29418293,2005975,2010-10-31,2020-01-26,2010,2020,Medal of the Order of Australia,Australia Day 2020 Honours List,G,For service to the people and Legislative Assembly of the Northern Territory.,Australian politician,1,2020-01-26,2020,2010,-3374,-10,2010-W43,2020-W04,-482,before Honours
Roger Vanderfield,M,Yes,AO,NSW,2006-01-26,2006,Post,https://en.wikipedia.org/wiki/Roger_Vanderfield,19518763,1131326,2008-09-29,2006-01-26,2008,2006,Officer of the Order of Australia,Australia Day 2006 Honours List,G,"For service to the community through the delivery of health care services at Royal North Shore Hospital, Sydney, and to Rugby Union football.",Australian rugby union referee,1,2006-01-26,2006,2008,977,2,2008-W40,2006-W04,139,on or after honours
Roger Wilkins public servant,M,Yes,AO,NSW,2007-06-11,2007,Post,https://en.wikipedia.org/wiki/Roger_Wilkins_(public_servant),43730042,1134678,2014-09-03,2007-06-11,2014,2007,Officer of the Order of Australia,The Queen's Birthday 2007 Honours List,G,"For service to public administration in New South Wales, particularly as a contributor to a range of new policy initiatives, and to arts administration.",Australian public servant,1,2007-06-11,2007,2014,2641,7,2014-W36,2007-W24,377,on or after honours
Roland Peelman,M,Yes,AM,NSW,2020-01-26,2020,Post,https://en.wikipedia.org/wiki/Roland_Peelman,47234156,2005257,2015-07-14,2020-01-26,2015,2020,Member of the Order of Australia,Australia Day 2020 Honours List,HP,For significant service to music.,Belgian conductor,1,2020-01-26,2020,2015,-1657,-5,2015-W29,2020-W04,-237,before Honours
Roland Perry,M,Yes,OAM,VIC,2011-06-13,2011,Post,https://en.wikipedia.org/wiki/Roland_Perry,3100629,1144546,2005-11-07,2011-06-13,2005,2011,Medal of the Order of Australia,The Queen's Birthday 2011 Honours List,G,For service to literature as an author.,Australian writer,1,2011-06-13,2011,2005,-2044,-6,2005-W45,2011-W24,-292,before Honours
Rolly Tasker,M,Yes,AM,WA,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Rolly_Tasker,14224373,1132981,2007-11-13,2006-06-12,2007,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to sailing as a sail maker, yacht designer and builder, as a competitive yachtsman, and to maritime related cultural institutions.",sailor,1,2006-06-12,2006,2007,519,1,2007-W46,2006-W24,74,on or after honours
Ron Boswell,M,Yes,AO,QLD,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Ron_Boswell,719360,2007269,2004-06-13,2020-06-07,2004,2020,Officer of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For distinguished service to the Parliament of Australia, to the people of Queensland, and to fisheries research and development.",Australian politician,1,2020-06-07,2020,2004,-5838,-16,2004-W24,2020-W23,-834,before Honours
Ron Christie rail administrator,M,Yes,AM,NSW,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Ron_Christie_(rail_administrator),47495688,1132249,2015-08-11,2002-01-26,2015,2002,Member of the Order of Australia,Australia Day 2002 Honours List,G,"For service to public administration, particularly transport management in New South Wales.",Australian rail administrator,1,2002-01-26,2002,2015,4945,13,2015-W33,2002-W04,706,on or after honours
Ron Clarke,M,Yes,AO,QLD,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Ron_Clarke,646649,1147736,2004-05-11,2013-06-10,2004,2013,Officer of the Order of Australia,The Queen's Birthday 2013 Honours List,G,"For distinguished service to the community through a range of  leadership roles with local government and philanthropic organisations, and to the promotion of athletics.",Australian long-distance runner (1937-2015),1,2013-06-10,2013,2004,-3317,-9,2004-W20,2013-W24,-474,before Honours
Ron Dyer,M,Yes,OAM,NSW,2016-06-13,2016,Post,https://en.wikipedia.org/wiki/Ron_Dyer,21232636,1153955,2009-01-24,2016-06-13,2009,2016,Medal of the Order of Australia,The Queen's Birthday 2016 Honours List,G,For service to the people and Parliament of New South Wales.,Australian politician,1,2016-06-13,2016,2009,-2697,-7,2009-W04,2016-W24,-386,before Honours
Ron Evans,M,Yes,AM,VIC,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Ron_Evans,4329321,1132891,2006-03-09,2006-06-12,2006,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to business and commerce, to Australian Rules football as a player and administrator, and to the community through support for a range of charitable organisations.","Australian rules footballer and businessman, born 1939",1,2006-06-12,2006,2006,-95,0,2006-W10,2006-W24,-14,before Honours
Ron Finneran,M,Yes,OAM,NSW,2004-06-14,2004,Post,https://en.wikipedia.org/wiki/Ron_Finneran,36113880,1057060,2012-06-12,2004-06-14,2012,2004,Medal of the Order of Australia,The Queen's Birthday 2004 Honours List,NA,For service to sport for people with disabilities as an administrator and competitor.,Australian sports administrator,1,2004-06-14,2004,2012,2920,8,2012-W24,2004-W25,417,on or after honours
Ron Haddrick,M,Yes,AM,NSW,2013-06-10,2013,Post,https://en.wikipedia.org/wiki/Ron_Haddrick,22683788,1147809,2009-05-05,2013-06-10,2009,2013,Member of the Order of Australia,The Queen's Birthday 2013 Honours List,G,For significant service to the performing arts as an actor and narrator.,Australian cricketer and actor (1929-2020),1,2013-06-10,2013,2009,-1497,-4,2009-W19,2013-W24,-214,before Honours
Ron Langman,M,Yes,AM,SA,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Ron_Langman,58756780,1132930,2018-10-15,2006-06-12,2018,2006,Member of the Order of Australia,The Queen's Birthday 2006 Honours List,G,For service to the building and construction industry through the establishment of collaborative marketing ventures and as a mentor for young entrepreneurs.,Australian businessperson,1,2006-06-12,2006,2018,4508,12,2018-W42,2006-W24,644,on or after honours
Ron Manners,M,Yes,AO,WA,2020-06-07,2020,Post,https://en.wikipedia.org/wiki/Ron_Manners,25186886,2007255,2009-11-24,2020-06-07,2009,2020,Officer of the Order of Australia,The Queen's Birthday 2020 Honours List,G,"For distinguished service to the minerals and mining sectors, and to youth through philanthropic support for educational initiatives.",Australian businessman,1,2020-06-07,2020,2009,-3848,-11,2009-W48,2020-W23,-550,before Honours
Ron McCallum,M,Yes,AO,NSW,2006-06-12,2006,Post,https://en.wikipedia.org/wiki/Ron_McCallum,13459609,1132827,2007-09-27,2006-06-12,2007,2006,Officer of the Order of Australia,The Queen's Birthday 2006 Honours List,G,"For service to the law, particularly as a tertiary educator and industrial relations policy adviser to government, and to the community through support for people with visual impairments and in the areas of social justice and human rights.",Australian legalacademic,1,2006-06-12,2006,2007,472,1,2007-W39,2006-W24,67,on or after honours
Ron Phillips politician,M,Yes,AO,NSW,2017-06-12,2017,Post,https://en.wikipedia.org/wiki/Ron_Phillips_(politician),5125679,1769706,2006-05-13,2017-06-12,2006,2017,Officer of the Order of Australia,The Queen's Birthday 2017 Honours List,G,"For distinguished service to community health through leadership roles in the public and private sectors, through the development of health policy reform, and to the Parliament of New South Wales.",Australian politician,1,2017-06-12,2017,2006,-4048,-11,2006-W19,2017-W24,-579,before Honours
Ron Pretty,M,Yes,AM,NSW,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Ron_Pretty,40359057,1040544,2013-08-26,2002-06-10,2013,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to literature, particularly through the establishment of organisations to foster the promotion of Australian poetry.",Australian poet,1,2002-06-10,2002,2013,4095,11,2013-W35,2002-W24,585,on or after honours
Ron Radford,M,Yes,AM,SA,2003-06-09,2003,Post,https://en.wikipedia.org/wiki/Ron_Radford,7479079,1043344,2006-10-17,2003-06-09,2006,2003,Member of the Order of Australia,The Queen's Birthday 2003 Honours List,NA,"For service to arts administration, particularly as Director of the Art Gallery of South Australia and by initiating appreciation of Australian artists and their work within the community.",Australian curator and art gallery director,1,2003-06-09,2003,2006,1226,3,2006-W42,2003-W24,175,on or after honours
Ron Stone bishop,M,Yes,AM,VIC,2008-06-09,2008,Post,https://en.wikipedia.org/wiki/Ron_Stone_(bishop),29893131,1138729,2010-12-05,2008-06-09,2010,2008,Member of the Order of Australia,The Queen's Birthday 2008 Honours List,G,"For service to the Anglican Church of Australia, and to rural and remote communities through executive roles with social welfare organisations.",Bishop of Rockhampton,1,2008-06-09,2008,2010,909,2,2010-W48,2008-W24,129,on or after honours
Ron Tauranac,M,Yes,AO,Other,2002-01-26,2002,Post,https://en.wikipedia.org/wiki/Ron_Tauranac,2855588,1132192,2005-10-08,2002-01-26,2005,2002,Officer of the Order of Australia,Australia Day 2002 Honours List,G,"For service to motor racing, particularly through the engineering design, construction and production of Formula 1 racing cars, providing young drivers with opportunities to compete at top levels, and sharing knowledge with others for the advancement of the sport.",Australian engineer and racing car designer,1,2002-01-26,2002,2005,1351,3,2005-W40,2002-W04,193,on or after honours
Ron Tindall,M,Yes,OAM,WA,2008-01-26,2008,Post,https://en.wikipedia.org/wiki/Ron_Tindall,7440545,1137833,2006-10-15,2008-01-26,2006,2008,Medal of the Order of Australia,Australia Day 2008 Honours List,G,"For service to sport, particularly through the development of football and through the education and development of sports coaches.",Cricketer and footballer (1935-2012),1,2008-01-26,2008,2006,-468,-2,2006-W41,2008-W04,-67,before Honours
Ronald Drayton Brown,M,Yes,AM,VIC,2002-06-10,2002,Post,https://en.wikipedia.org/wiki/Ronald_Drayton_Brown,52720414,1040461,2016-12-29,2002-06-10,2016,2002,Member of the Order of Australia,The Queen's Birthday 2002 Honours List,NA,"For  service to chemistry and chemical research, particularly spectroscopic work on molecules, to education in the areas of curriculum development, teaching and as an administrator, and to the community.",Australian chemist,1,2002-06-10,2002,2016,5316,14,2016-W52,2002-W24,759,on or after honours
Ronald Ekers,M,Yes,AO,NSW,2019-01-26,2019,Post,https://en.wikipedia.org/wiki/Ronald_Ekers,21031442,2003389,2009-01-11,2019-01-26,2009,2019,Officer of the Order of Australia,Australia Day 2019 Honours List,G,"For distinguished service to science as a radio astronomer, to scientific education, and to international astronomical organisations.",Australian astronomer,1,2019-01-26,2019,2009,-3667,-10,2009-W02,2019-W04,-524,before Honours
Ronald Sackville,M,Yes,AO,NSW,2009-01-26,2009,Post,https://en.wikipedia.org/wiki/Ronald_Sackville,8783265,1139664,2007-01-06,2009-01-26,2007,2009,Officer of the Order of Australia,Australia Day 2009 Honours List,G,"For service to the administration of the Australian judicial system, to the reform of federal and state law, and to legal education.",Australian judge,1,2009-01-26,2009,2007,-751,-2,2007-W01,2009-W05,-108,before Honours
Ronald Sanders diplomat,M,Yes,AM,Other,2012-11-30,2012,Post,https://en.wikipedia.org/wiki/Ronald_Sanders_(diplomat),47889560,1147706,2015-09-21,2012-11-30,2015,2012,Member of the Order of Australia,Honorary Appointments,HG,"For service to Australian relations, particularly concerning Commonwealth issues and advancing the interests of small developing states of the Caribbean region.",Antiguan Barbudan diplomat,1,2012-11-30,2012,2015,1025,3,2015-W39,2012-W48,146,on or after honours
